"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Gender"
"06","California","06001","Alameda","2016","4.3","",,"Male"
"06","California","06001","Alameda","2016","4.8","",,"Female"
"06","California","06001","Alameda","2017","4.4","",,"Male"
"06","California","06001","Alameda","2017","4.9","",,"Female"
"06","California","06001","Alameda","2018","3.6","",,"Male"
"06","California","06001","Alameda","2018","4.2","",,"Female"
"06","California","06001","Alameda","2019","3.9","",,"Male"
"06","California","06001","Alameda","2019","4.5","",,"Female"
"06","California","06001","Alameda","2020","1.6","",,"Male"
"06","California","06001","Alameda","2020","2.2","",,"Female"
"06","California","06003","Alpine","2016","2.6","",,"Male"
"06","California","06003","Alpine","2016","4.1","",,"Female"
"06","California","06003","Alpine","2017","3.8","",,"Male"
"06","California","06003","Alpine","2017","4.4","",,"Female"
"06","California","06003","Alpine","2018","2.9","",,"Male"
"06","California","06003","Alpine","2018","3.5","",,"Female"
"06","California","06003","Alpine","2019","4.1","",,"Male"
"06","California","06003","Alpine","2019","4.0","",,"Female"
"06","California","06003","Alpine","2020","1.2","",,"Male"
"06","California","06003","Alpine","2020","2.8","",,"Female"
"06","California","06005","Amador","2016","4.9","",,"Male"
"06","California","06005","Amador","2016","4.9","",,"Female"
"06","California","06005","Amador","2017","6.1","",,"Male"
"06","California","06005","Amador","2017","6.2","",,"Female"
"06","California","06005","Amador","2018","5.1","",,"Male"
"06","California","06005","Amador","2018","5.5","",,"Female"
"06","California","06005","Amador","2019","4.7","",,"Male"
"06","California","06005","Amador","2019","5.3","",,"Female"
"06","California","06005","Amador","2020","2.3","",,"Male"
"06","California","06005","Amador","2020","2.6","",,"Female"
"06","California","06007","Butte","2016","3.0","",,"Male"
"06","California","06007","Butte","2016","3.7","",,"Female"
"06","California","06007","Butte","2017","3.5","",,"Male"
"06","California","06007","Butte","2017","4.2","",,"Female"
"06","California","06007","Butte","2018","4.5","",,"Male"
"06","California","06007","Butte","2018","4.3","",,"Female"
"06","California","06007","Butte","2019","3.5","",,"Male"
"06","California","06007","Butte","2019","5.4","",,"Female"
"06","California","06007","Butte","2020","2.7","",,"Male"
"06","California","06007","Butte","2020","2.7","",,"Female"
"06","California","06009","Calaveras","2016","3.8","",,"Male"
"06","California","06009","Calaveras","2016","4.2","",,"Female"
"06","California","06009","Calaveras","2017","4.6","",,"Male"
"06","California","06009","Calaveras","2017","4.9","",,"Female"
