"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Race Ethnicity"
"06","California","06001","Alameda","2016","50.5%","",,"White including Hispanic"
"06","California","06001","Alameda","2016","11.5%","",,"Black including Hispanic"
"06","California","06001","Alameda","2016","5.4%","",,"Other including Hispanic"
"06","California","06001","Alameda","2016","31.5%","",,"Asian/Pacific Islander including Hispanic"
"06","California","06001","Alameda","2016","1.1%","",,"American Indian/Alaskan Native including Hispanic"
"06","California","06001","Alameda","2016","22.3%","",,"Hispanic All Races"
"06","California","06001","Alameda","2016","49.5%","",,"All Non-White Races including Hispanic"
"06","California","06001","Alameda","2017","49.9%","",,"White including Hispanic"
"06","California","06001","Alameda","2017","11.3%","",,"Black including Hispanic"
"06","California","06001","Alameda","2017","5.4%","",,"Other including Hispanic"
"06","California","06001","Alameda","2017","32.2%","",,"Asian/Pacific Islander including Hispanic"
"06","California","06001","Alameda","2017","1.1%","",,"American Indian/Alaskan Native including Hispanic"
"06","California","06001","Alameda","2017","22.3%","",,"Hispanic All Races"
"06","California","06001","Alameda","2017","50.1%","",,"All Non-White Races including Hispanic"
"06","California","06001","Alameda","2018","49.4%","",,"White including Hispanic"
"06","California","06001","Alameda","2018","11.1%","",,"Black including Hispanic"
"06","California","06001","Alameda","2018","5.5%","",,"Other including Hispanic"
"06","California","06001","Alameda","2018","33.0%","",,"Asian/Pacific Islander including Hispanic"
"06","California","06001","Alameda","2018","1.1%","",,"American Indian/Alaskan Native including Hispanic"
"06","California","06001","Alameda","2018","22.2%","",,"Hispanic All Races"
"06","California","06001","Alameda","2018","50.6%","",,"All Non-White Races including Hispanic"
"06","California","06001","Alameda","2019","48.9%","",,"White including Hispanic"
"06","California","06001","Alameda","2019","10.9%","",,"Black including Hispanic"
"06","California","06001","Alameda","2019","5.5%","",,"Other including Hispanic"
"06","California","06001","Alameda","2019","33.6%","",,"Asian/Pacific Islander including Hispanic"
"06","California","06001","Alameda","2019","1.1%","",,"American Indian/Alaskan Native including Hispanic"
"06","California","06001","Alameda","2019","22.2%","",,"Hispanic All Races"
"06","California","06001","Alameda","2019","51.1%","",,"All Non-White Races including Hispanic"
